Scenario,Split,Model,R2,RMSE
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",60:40,Linear Regression,0.9248942043389365,0.08739672966352048
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",60:40,Polynomial Regression,0.9997054636816864,0.005473030686105586
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",60:40,Random Forest,0.9816571657881633,0.04319084259312504
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",70:30,Linear Regression,0.9206856797883001,0.08955560621048214
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",70:30,Polynomial Regression,0.999646385548351,0.005979735545067195
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",70:30,Random Forest,0.9850961507749045,0.038820953583670055
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",80:20,Linear Regression,0.8880503838219184,0.10118030302186094
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",80:20,Polynomial Regression,0.9997194238450053,0.005065356902572239
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",80:20,Random Forest,0.9809635598398794,0.041723193333192084
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",90:10,Linear Regression,0.852585953104511,0.10976909791811026
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",90:10,Polynomial Regression,0.9996523635983838,0.005330565494359574
"SKENARIO 2 : (1264,1265,1266,1267) -> 1268",90:10,Random Forest,0.9565787724134595,0.05957467879984968
